Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
69,2019,"Knowledge, attitude and practice of Hand hygiene among different category of healthcare workers in a tertiary care hospital.",Dr. Kinjal Patel,Ongoing,No
71,2019,"Prospective , single center , observational study of Use of shear wave Elastography in assessment of liver fibrosis in patient with fatty liver.",Dr. Dhaval Dalal,Ongoing,No
72,2019,Prospective observational single center study on visceral fat thickness as the independent determinant of metabolic syndrome .,Dr. Dhaval Dalal,Completed,Yes
73,2019,Perceptions of doctors & general population about reuse of single use devices-A survey,Mrs.Mukta Kuyare,Ongoing,No
74,2019,Prospective cohort observational single center study of diabetic distress in suburban type 2 population,Dr Mohhamed Fahad,Completed,Yes
75,2019,"Prospective , single center , study of efficacy of trimethylglycine   in patients with fatty liver disease with or without fibrosis.",Dr.Puneet Jain,Completed,Yes
76,2019,The Prospective observational cross sectional study of association between sleep behaviour with paediatric recurrent respiratory illness and school functioning,Dr.Megha. M,Completed,Yes
77,2019,Prospective obervational study of effect of screen time exposure on behavioural and growth parameters in paediatric population.,Dr. Ranjitha Rani,Completed,Yes
78,2019,Prospective obervational study to assess the accuracy of urine dipstick nitrite and leukocyte esterase in case of pediatric urinary tract infection,Dr. Anurag Yenkar,Completed,Yes
79,2019,Prospective obervational study of thyroid stimulating hormone level in neonate of diabetic mother and neonate born of mother with thyroid dysfunction compared with neonate born of non diabetic and non thyroid mother.,Dr. Gaikwad Priyanka,Ongoing,No
80,2019,"A Prospective, single centre, single arm, interventional Study to assess the Role of Magnesium in improvement of glycaemic control among diabetic patients.",Dr.Dhaval Dalal,Ongoing,No
81,2019,To study the effect of spiritual therapy in the treatment of autistic children.,Dr.Komal Dalal,Ongoing,No
82,2019,"A Prospective, single centre, single arm, Cohort Study to Assess the Role of Magnesium Supplementation in improvement of symptoms and left ventricular function in  Heart Failure patients.",Dr.Dhaval Dalal,Ongoing,No
83,2019,"A  study on the effectiveness of spiritual care/holistic care on subjective wellbeing of undergraduate students in selected nursing education institute at Mumbai,Maharashtra",Mrs.Bhadrapriya S.Parab,Ongoing,No
84,2019,A retrospective study of epidemiology and microbiological profile of patients having keratitis.,Dr.kinjal patel,Completed,No
85,2019,A cross sectional study to assess knowledge and perceptions towards antibiotic use and resistance among the physicians and pharmacists-two major healthcare providers in mumbai.,Brinal Pareira,Ongoing,No
86,2019,Utilization of a mobile screening toolkit in the urban slum setting of mumbai,Ria Rungta,Completed,Yes
87,2020,“Major Neurological complications following central neural blockade – An observational study in Maharashtra”(MGMM CNB Study).,Dr.Shilpa Tiwaskar,Completed,No
88,2020,"Prospective , retrospective , single center , interventional , case control study of  Effect of Garbhsamskar Program on the quality of life of women in antepartum, intrapartum , post partum period and overall child development in terms of Intelligence quotient , developmental quotient and Spiritual quotient.",Dr.Komal Dalal,Withdrawn by PI,No
89,2020,Prospective single center interventional randomized controlled study of Efficacy/ Role of prophylactic antibiotics in Dilatation and curettage management .,Dr.Kamalapriya,Completed,Yes
90,2020,"Prospective, single center interventional randomized control study of role of early initiation of feeds in post lower segment caessarian section patients.",Dr.Vaishali Choudhary,Completed,No
91,2020,"An open label, non-randomized, single arm, prospective, interventional pilot study to evaluate efficacy of oral Etoposide and Tamoxifen as maintenance metronomic chemotherapy in patients diagnosed with Stage IIIC/IV High grade Serous Ovarian cancer.",Dr.Nirmal Raut,Ongoing,No
92,2020,Prevalence of diabetes and Prediabetes in adolescent and young adults in Western suburbs in Mumbai.,Dr.Dhaval Dalal,Ongoing,No
93,2020,"Prospective  , single center , observational , cohort  study of  Effect of Garbhasamskar Program on the quality of life of women in antepartum, intrapartum , post partum period.",Dr.Komal Dalal,Ongoing,No
94,2020,"Prospective  , single center , observational comparative study  to assess growth , development, Intelligence quotient and behavioral abnormalities in children born of mothers who underwent Garbhasamskar Program during pregnancy .",Dr.Komal Dalal,Ongoing,No
